prompt,completion
How do interferon beta medications treat multiple sclerosis?,1
breast augmentation in cirrhotic patient could pose for potential infections due to the foreign object? what precaution can you recommend?,1
Do all language make the distinction between poultry and fowls?,0
What are warning signs for suicide?,1
what is the presumed cause of most aneurysms of the abdominal aorta?,1
Why are larger cathedrals and churches associated with the Gothic style?,0
if i see a tornado which direction should i drive as in north or south or.?,1
Name a private business school located in Ann arbor.,0
How looks this one?,0
how can i lose 40 pounds in 4 months?,1
im 31my breasts are very small i have to wear push up bras to look like i have something. dont want to have breasts surgery so what is my options?,1
Does Paris see snow?,0
How soon after amputation does physical therapy start?,1
Why does geography have an effect of the amount of solar energy available?,0
What should I do if I have an astma attack while exercising?,1
What do compression stockings do?,1
what benefits does laser liposuction have over conventional liposuction? i am wondering if it's worth the longer wait for results with laser as opposed to conventional liposuction. i am leaning towards the former due to the fact that it is not nearly as i,1
When you taste the milk?,0
"Wood extractives include resin and fatty acids, terpenes, and what other component?",0
Is film good?,0
"Each day, about how many New Yorkers bike?",0
How is it the busy atmosphere?,0
Holden acknowledges that defectors are seldom allowed a what from the church?,0
"Besides a ground, what has these phases apply well to?",0
Are there ways to make life with multiple sclerosis easier?,1
Einstein showed how what could be altered by high speed motion?,0
What should I ask my doctor if I am diagnosed with hepatocellular carcinoma?,1
What trend has accompanied Estonia's cooperation with Western powers?,0
What compression did Euro1080 later change to?,0
How is the picture?,0
What should I do if I am constipated?,1
how long do i have to wait to breastfeed after taking fat burner shack?,1
Under whose reign did Byzantine historiographers describe Slavic tribes?,0
i had a breast biopsy and was told that the calcium deposit were suspicious. what does that mean?,1
How effective is surgery for Peyronie's disease?,1
what is the main reason a doctor would recommend body jet liposuction over other lipos?,1
How is the tone?,0
I am really trying to reduce my waiting time but I have not received any satisfaction. Do you have any tips please? ,1
How are biologic drugs used to treat juvenile idiopathic arthritis (JIA)?,1
What could the reference software demonstrate?,0
what makes a person lose control of his emotions? it seems when i don t like the situation my chest starts to hurt and i get short winded.,1
what's difference between olmesartan and valsartan?,1
Why does Eritrean cooking tend to feature more seafood than Ethiopian cuisine?,0
legs twitching and sometime thigh vibrates hard twitching moves to top half but not as often. magnesium deficiency? calcium fine.,1
What physical characteristics are common in Islamic architecture?,0
In what component of electrolytic capacitors did Becker believe was similar to the porous carbon electrodes?,0
How do you know if you have an H. pylori infection?,1
"During the summer in Nome, about how many hours ahead of the sun do they set their clocks?",0
What number of cup finals did Arsenal reach in,0
"Commercial projects in the late period tended to be ""architectural"" in what way?",0
"Due to discrimination, some Christians converted to what religion?",0
What oil company leader is an alumnus of the University of Kansas?,0
"Besides a motor, what did Gramme use the other device for?",0
What conditions would a doctor prescribe antibiotics?,1
what can you do to reduce risk of a stroke after a transient ischemic attack?,1
When should you check for ticks?,1
will eating healthily make me lose the belly fat?,1
Due to the replanting of trees the center of the city is called what?,0
i have mobitz type 1 and anxiety. i got root canal treatment coming up i'm so scared my heart have a reaction to the numb injection. will i be okay?,1
What concept determines relationships between Grand Lodges?,0
How can relaxing visualization help with generalized anxiety disorder?,1
is mrsa the main cause of cellulitis nowadays?,1
Was the chocolate bar tasty and crunchy?,0
5000 men represented what fraction of General Lee's army?,0
wat does fastin (phentermine)g blood sugar 110 and post prandial blood sugar level '98' indicates? post prandial sugar level is below da range n fastin (phentermine) just border.,1
How long can medicine be used after the expiration date? ,1
how would ancient greeks have dealt with sleep apnea disorder or low testosterone? was there anything they could do?,1
Should you tell your doctor about any side effects of immunotherapy for lung cancer?,1
how do i know exactly what is binge eating disorder?,1
How do you treat a broken arm?,1
i have medical phobia not able to go to hospital/doctors. i'm overweight (270) when i stand and walk my heart rate jumps to 120's-130's and if move much or fast goes to 150's. is it normal or bad?,1
Yale University is heavily affiliate with our presidential candidates since what year?,0
i have prolactin level of 1300. can this cause anxiety/flushing? propananol was helping but now isn't working! tried increasing dose but didn't help,1
What are types of rehab programs for alcohol use disorder?,1
in bed last night heart rate increased and stayed that way for an hour or so average 95 bpm resting. woke this morning with migraine related?,1
what are the risks of an angiogram?,1
When should I start tattoo care?,1
What other devices can help with hearing loss?,1
How common is erectile dysfunction if you have diabetes?,1
Should you have water and snacks when exercising with type 1 diabetes?,1
At what military installation was the 15th Infantry based?,0
How is the continental breakfast?,0
What can I do to make sure my child with ADHD is comfortable in a new school?,1
What are the emergency symptoms of a migraine headache?,1
Colombier Bay has what type of helpful structures placed in the water?,0
What is the quality of room?,0
What are symptoms of a prolapsed uterus?,1
 How high was the dome at the Romanesque revival building?,0
How is the remote?,0
How was the hotel staff?,0
What are other symptoms of infertility?,1
How many students were attending school during the 2009-2010 school year?,0
i am nw 21stone and want to get down to about 12stone and realy want to try gastric balloon would it help me?,1
What is the treatment for a small outbreak of pustular psoriasis?,1
Why is my belly always bloated?,1
What amount is spent annualoy on pesticides?,0
How is the auto focus?,0
How can I educate myself if my child is severely visually impaired?,1
Each record group is classified based on what?,0
During how many years did the Bell Company battle lawsuits?,0
i've been having fast heartbeat for the past hour and a half. my blood preassure is 135/86 and heart rate is 83.,1
What are prokinetics?,1
Is its taste good?,0
how would having type 2 diabetes and hypogammaglobulinemia affect having a tummy tuck?,1
How long does an irritable bowel episode last?,1
why am i feeling a heart beat right under my rib cage?,1
what to do to lose belly fat?,1
hi i would like to know how i can lose fat from my face and how to lose the doublechin. because i gained pounds but i lost them but not from my face?,1
fat intolerant after inflamed gallbladder. on low fat/high fibre diet. lost 20lb. could this be the reason i've had constant bouts of colds/virus/flu for 2mths? (i hydrate/rest/exercise/eat healthy? ),1
"If I have severe hearing loss, how soon will my cochlear implants work after surgery?",1
i have very high bp even with meds and had one stroke already but was very lucky on lots of meds but now the tachycardia is worsening. suggestions?,1
Does the military presence interfere with the day to day running of the government ?,0
How do you know if you have cataracts?,1
What is the quality of support?,0
what to do if i have some belly fat (just a lil) i wanna lose so my abs can be seen from all the ab workouts i'm doing. what do i need to do?,1
Is this book about pain and suffering?,0
Is it hard to find a way to reach them?,0
 Full-bandwidth devices other than hubs can what?,0
Does the box have a good texture?,0
What is the definition of transesophageal echocardiogram?,1
"Compared to other countries, how large is the US?",0
What is the quality of the color?,0
  What is one company that is able to get investments from large companies?,0
Between what years were the ordinances enacted Presbyterianism as the polity of the Church of England?,0
Why is it important for people with multiple sclerosis to exercise at the same time every day?,1
 From what empire did students come from to attend university?,0
When features are good?,0
At which battle was Obregon badly defeated?,0
"At serfdom's greatest extent, what percentage of Western Europeans were serfs?",0
what to do if i have very low cholesterol level what to eat to increase it?,1
How can taking a break help with your baby's colic?,1
can i have butt and breast augmentation at the same time?,1
What did you like most about the film?,0
is too much sugar directly responsible for diabetes type 2?,1
swelling and inflammation in the left arm with a pacemaker?,1
what kind of doctor treats hypertension?,1
What does recovery from hyperthyroidism surgery look like?,1
How will my cancer treatment change before I get stem cell treatment?,1
Adding additional metadata allows players to handle gapless playback and deliver what?,0
would would you get the breast cancer genetic testing?,1
how good are the various types of non surgical liposuctions?,1
What compression is used in a lot of applications?,0
Writer Geoff Boucher compared DC to what dull 1960s crooner?,0
What are early versus severe symptoms of cubital tunnel syndrome?,1
half of orthodox judiasm tends to lean to what political ideaology?,0
Should you exercise if you have fibro fog and fatigue?,1
is there a honey and cinnamon drink that can really help to reduce weight?,1
why when i drink energy drinks even if its just one does my arm feel really heavy and ache and my hand and fingers tingle? also with my leg and foot,1
What compression cannot attain high compression ratios?,0
Does Puerto Rico have many English speaking residents?,0
When should you call your doctor about heart problems?,1
"Fachhochschulen favor an education in what, as opposed to research?",0
i have 2 areas on my breast that where not on my last mammo 6 months ago that r 6mm big. i also have very dense breasts. i am worried.,1
How is story line?,0
What are symptoms of vision problems in children?,1
is there another way for the dr to check on your hiatial hernia and stomach ulcer besides running a scope?,1
i have high bp tachycardia daily take effexor (venlafaxine) xr soma ultram zonegran methergine metoprolol tar elavil neurontin. what otc cold med can i take?,1
How should you eat if you have Parkinson's disease?,1
Why were the non nobles and nobles referred as the same term?,0
What happens in a physical examination for bowel incontinence?,1
what is the average age for high blood pressure in males?,1
Is it each one perfect?,0
How does touching your face increase your risk for the flu?,1
having palpitations from buspar (buspirone) should i keep taking it?,1
Can strokes lead to memory loss?,1
How is the chocolate bar to your liking?,0
What is the difference between being fat and overweight?,1
What component is the Brussel Region?,0
What opened the door to plant genetic engineering?,0
In what borough did the Occupy Wall Street protests take place?,0
Why does a mass spectrometer need to be used with gauge to be accurate at high vacuum gas measurement?,0
how could i explain to my orthopedist that my back pain is not from being overweight? i have complained of back pain but no doctor listens. <negative_smiley>,1
How good is the resolution of the screen?,0
would you say it is risky oral sex for people with very low blood pressure?,1
what are common symptoms of heart failure in women?,1
How far were runways extended out?,0
How do you like wine tasting?,0
Ganglia are connected into a what?,0
How much storage does the nook have?,0
very sharp left side breast pain(lasts a few seconds) then area is sore and tender. this can happen when moving. i get the same pain in upper arm too?,1
What can cause my intense heart pains?,1
How do you get HIV?,1
At most there are how many step of predator-prey interaction? ,0
Will I need to see a psychologist to diagnose my headache?,1
"What method is used by composers to prescribe to the performer the pitches, tempo, meter and rhythms for a piece of music?",0
How is food poisoning treated?,1
How do you like cracker?,0
What medications are used to treat teens with ADHD?,1
What is the difference between short and long-acting forms of stimulant drugs for ADHD?,1
Where did smelting of iron begin?,0
Is this book have a familiar name?,0
i'm having bad palpitations. what should i do?,1
Why are plants able to stop and start dividing cells?,0
could there be a difference in dietary requirements between type 1 and type 2 diabetes sufferers?,1
What concept was relevant to the solvability of the problem of measure?,0
i have low iron in blood and and also about to have a breast augmentation. is this dangerous?,1
How does age and gender affect your risk of thyroid cancer?,1
What was the grand total of German casualties and those missing in action?,0
How can avoid burns in the bedroom?,1
What concern did Mao have about the South Korean invasion?,0
"If I've had breast cancer surgery, will the fluid from my drainage device decrease?",1
can an area of fibrosis increase in size by 2mm on ultrasound as a result of pregnancy induced breast enlargement?,1
Efforts were made to reduce analog HDTV to how much of the bandwith of SDTV?,0
i'm 41 and have a restring heart beat around 60 bpm is this to low?,1
How was the signal?,0
What makes Armenia's presidential elections faulty?,0
How is writing style?,0
when does diuretic start showing its effect after taking tablet?,1
Why does Congress give generalized powers to federal agencies?,0
How many copies of Late Registration were sold in the United States?,0
How do you prevent a boxer's fracture?,1
Are language and speech developmental delays common in children?,1
What are feeding tips for a baby?,1
How do you treat skin to keep it healthy?,1
How is an implantable left ventricular assist device used to treat heart failure?,1
What causes Churg-Strauss syndrome?,1
will prednisone 10mg for 2 weeks cause low potassium? i have chronically low potassium but doc isn't worried?,1
i have an overweight friend who thinks shes thinner than she is how do i honestly tell her shes seriously overweight and needs help for her health?,1
Europe experienced a rapid growth in what at this time?,0
Brazil's population is thought to have greater than what percentage of European Y-DNA?,0
How is a duplex ultrasound used to diagnose deep vein thrombosis (DVT)?,1
Do you want to damage your reputation?,0
what weight loss pills are most effective that are prescribed?,1
Why was the first settlement named Paleapolis?,0
Fort Wadsworth and Fort Totten are located in which area of New York City?,0
What is the neighborhood like?,0
How is it people ?,0
How is anosmia caused by polyps treated?,1
What is Crohn's disease and how is it linked to heart disease?,1
With what aspect ratio did Squeeze LDs operate?,0
What was the first university to offer courses in liberal arts?,0
Who says chemistry is not good?,0
Why does BYU's Winter semester end earlier than most colleges?,0
how can i prevent weight gain while on birth control pills?,1
i woke up dreaming about swallowing something big cant remember what it was but it caused a 5/10 chest pain and excess salivation i'm 19 female?,1
How is the taste of bread?,0
How does distant family history increase the risk for breast cancer?,1
Hannibal defeated whom at the Battle of Cannae?,0
Why was the transition to a new union difficult ,0
my 8 yr old son twice weekly compains of severe chest pain. his ekg was normal. help! ?,1
Is there a good bar located next to the hotel?,0
Does Florida have a high Hispanic population?,0
Aside from planning and design what other types of aspects does architecture involve?,0
Hard rock is differentiated from heavy metal by containing more of an influence of what genre?,0
what are interactions between caduet and provengil?,1
hello my age is 19 year and my bmi 17. 9. and i am skinny so is it good for me to eat snack after 2 hours? your assistance will be help full for me,1
How is radiation used to treat advanced prostate cancer?,1
What do you think about variety?,0
How good is the story?,0
How is the service?,0
Why were the people in Saint Peter's Square chanting and yelling?,0
What happens to your baby's communication at the 12 month mark?,1
Was your experience unique?,0
 What is one religious text that was thought to eventually lead to a peace between all?,0
will walking and running up stairs help you lose belly fat?,1
What races were prohibited from official relationships with whites?,0
How is the quality of the film?,0
How is the place?,0
From whom were the early Muslims fleeing?,0
"""World's Most Beautiful woman"" was declared to Beyonce by which national magazine?",0
How do chimpanzees arrange themselves in a group setting?,0
i had a lap nissen done about ten years ago and for the first time i am experiencing heartburn pretty often. i am also pre- barretts. any advice?,1
What are some tips for exercising if I have rheumatoid arthritis?,1
How to get to the parking lot?,0
How is the plot line?,0
what's congestive heart failure and anemia?,1
How would you describe the gift of Gregory in writing historical fiction?,0
Women were first hired in professional orchestras for what position?,0
what is the connection between cardiomyopathy and chemotherapy?,1
For which team was the first goal scored?,0
"After I flush an object out of my eye, when should I begin to feel better?",1
What old ally did Nasser turn against?,0
How do antibiotics treat eczema?,1
How is the quality of the sex?,0
What could overuse of zinc possibly cause?,1
At what location was the North African campaign planned?,0
Do lifestyle changes definitely have an affect on long term memory?,1
