,prompt,completion
67202,i am 47yrs good health. i never get spots but 2/3 weeks ago ulcer appeared under left breast is it almost certainly breast cancer? straight answer pse,1
26582,How can you prevent further damage if you have heart failure?,1
5848,How can simple cysts cause benign breast lumps?,1
6020,How do I do a breast self-exam in the mirror?,1
650,Why have ideographs been unable to be simplified like Hangul?,0
193,At what time on Earth did Armstrong first step onto the Moon?,0
1374,What other US group was interested in the Bofors?,0
1371,What other Unique Architecture started in Miami after world war 2,0
56,Treatment options for chronic tinnitus?,1
4352,What is degenerative disk disease?,1
67742,i have to make a decision on whether to have my ovaries removed during a hysterectomy and do not know what to do. my mom died of breast cancer.,1
78964,how often are you suppose to get a mammogram thanks?,1
49435,does fiber help to lose weight?,1
90616,what distinguishes an esophagus spasm from a heart palpitation?,1
1418,What number describes the percentage of Russian Estonians?,0
347,How would you describe the set of the hotpots?,0
20521,Does everyone get eye problems?,1
43675,When are you more likely to get leg cramps?,1
501,How did the receptionist treat it?,0
112648,with genetic risk for aneurysms. should i do the stress test?,1
100864,my mother has fdiffuse cerebral edema because of cardiac arrest. she is having little body movements little eye opening but no concious yet.,1
31774,Which medicines can cause headaches?,1
535,How is people?,0
744,Half of the top earners were mostly in what field?,0
552,How are dogs viewed in Islam?,0
258,Can IRENE read vertically modulated information?,0
1087,What could we call some specimens with a high proportion of latewood that explains why they weigh less than specimens with much less latewood?,0
1448,What must be purchased with hunting license is comes in a limited number?,0
375,How was animation quality on this film?,0
35066,What are the symptoms of an abscessed tooth?,1
78,How is the series?,0
47507,how come i have a buzzing noise in my ear?,1
922,Why was Iran included in the collection of regions? ,0
149,"Aside from Plymouth High School for Girls and Devonport High School for Boys, what state grammar school is present in Plymouth?",0
96,How are some people?,0
15499,How serious is diabetes insipidus?,1
256,How about the quality?,0
1367,What other types of petrels breed on Phillip Island?,0
519,Where is the concierge office?,0
248,Buddhists call anapanasati what?,0
185,At what time are drivers in New York most likely to experience traffic jams?,0
876,With whom is it believed that Mary lived with in Ephesus?,0
1075,What could prevent asthma?,1
203,"AT&T, Philips, Zenith, and MIT, among others, made up what group in the 90's?",0
73202,had breast implants feb 2013. am a cardio tech student will be taking ekgs of each other. can u see that i have implants on ekg? should i tell them?,1
32388,what happens if you powerlift and you have a 30-40 bmi is that bad?,1
1103,What complication does the use of combinations of antibiotics for active TB prevent?,1
20710,What are the precautions before taking Cymbalta for the treatment of fibromyalgia?,1
730,France has become a more ethnically diverse country since the end of which war?,0
681,Can new methods determine a total number of bacteria species?,0
58,What is your favorite book?,0
1240,What adjective did CNET use to describe the PS3 Super Slim's design?,0
561,How are the rooms in the Belgian Suite connected?,0
26793,What is mitral stenosis?,1
763,Hormones secreted are driven by what organ in the body?,1
472,How did you like dinner?,0
341,Does the minority or majority party have more leadership positions in House?,0
588,How far was the party in debt for the same time period?,0
9727,What is the formal operational stage in Piaget's stages of development?,1
1390,What organ did Wolfgang Amadeus Mozart play on?,0
24371,What are the symptoms of myositis caused by a virus?,1
405,"During the breakup of Pangaea, what sea was created?",0
38099,What does recurrent prostate cancer mean?,1
74,How is the world?,0
26917,Why might ongoing stress be unhealthier than usual if you have heart failure?,1
1249,What are local associations  intended to implement?,0
52,How is the love?,0
31,What drugs help against high blood pressure?,1
342,How many problems did this series have?,0
9405,Who needs to be screened for cervical cancer?,1
5231,Can a brain hemorrhages be prevented?,1
839,Who did the Oeselian pirates atack?,0
757,Hoklo objected to the proposal because it would increase what tensions?,0
125094,what is the treatment for idiopathic pulmonary fibrosis?,1
20770,What do I need to know about Cymbalta to treat fibromyalgia?,1
312,Do chicken raised in the intensive broiler method suffer from health condions?,0
90070,i have wpw syndrome and im on propranolol. i just had 5 pvc's in a row which i've never had before. their gone now but should i go to er?,1
14256,i had a liposuction surgery 4 weeks ago. could i start my power plate sessions again?,1
965,Why are dogs viewed as unclean in Islam?,0
397,How about animation?,0
121088,what are the symptoms of pulmonary fibrosis?,1
271,City University London is related to what specialized business school?,0
498,For which part of the Roman Catholic Church was the first Code published?,0
322,Do people oppose of using the new Webly Stadium?,0
94306,hi doc. i have been having a high pulse rate and it usually remains in 90+ range. how to control it.,1
827,Where did Sir Henry Norman travel in 1894,0
725,Fox praised revolutionary principles in a debate about which country?,0
196,At what wavelength does the human eye become significantly less sensitive to light?,1
1144,What computer language came about as a result of the looping problem?,0
733,"Generally speaking, what percentage of music on easy listening stations was instrumental?",0
21,Which is your forme to grasp the problems?,0
239,"Besides vocabulary and grammar, what other diffinence is there from other similar area languages?",0
40073,How can pacing yourself help with rheumatoid arthritis?,1
180,How do you like the design?,0
138,A bill could not become a law without whose assent?,0
33509,How long does it take for cluster headaches to reach their full force?,1
4466,How can you support your lower back while in bed?,1
94,Is it harmful to be on a straight protein diet?,1
33385,What is the definition of seizures?,1
33018,will the ace weight loss pill interfere with my birth control pills?,1
382,How is the thing?,0
99393,hi what type of my problem my testines bolls their giving mi pain almost 3 months but not going bigger?,1
64789,i have body aches headache and my right breast hurts a lot especially when breadt feeding. what could it be?,1
82622,i have a naturally slow pulse? it used to go so low it would kick in a beat?,1
1019,What trend was Nasser trying to cause?,0
25354,How can cardiac resynchronization by biventricular pacemaker treat dilated cardiomyopathy (DCM)?,1
255,How is it bag ?,0
45329,What is biliopancreatic diversion?,1
937,Why does Catalan share many traits with other Romance languages?,0
636,Of what series in the Periodic Table of Elements is uranium a part?,0
332,Does God have a gender?,0
1116,What component of wood is degraded by bacteria that scientists are still trying to learn about?,0
18035,What is endometrial biopsy?,1
293,Do adolescents or adults seem to give more weight to rewards?,0
488,For how long was the interest rate of Sumerian loans consistent?,0
34473,What other conditions besides multiple sclerosis can cause Lhermitte's sign?,1
447,England left FIFA in 1928 and ultimately rejoined in what year?,0
29832,What can I do to lower my risk of lung cancer?,1
1210,What conductive metal are the lands on a circuit board made out of?,0
27452,What should you do if you find out you have hepatitis C?,1
1206,What conditions did the African slaves in Brazil live in?,0
